CountryName,Uncertainty bounds*,2010,2011,2012,2013,2014,2015
Afghanistan,Lower,92,88.1,83.8,79.1,74.5,69.6
Afghanistan,Median,105,102.3,99.5,96.7,93.9,91.1
Afghanistan,Upper,120.6,119.3,118.5,118.2,118.3,118.8
Angola,Lower,130.1,122.1,114.9,107.7,101.1,94.8
Angola,Median,182.5,177.3,172.2,167.1,162.2,156.9
Angola,Upper,248.3,249.5,250.8,252.2,253.6,253.7
Albania,Lower,11,10.2,9.6,8.9,8.4,7.9
Albania,Median,16.6,16,15.5,14.9,14.4,14
Albania,Upper,25.2,25.1,25,24.9,24.9,24.9
Andorra,Lower,2.3,2.2,2.1,2,1.9,1.8
Andorra,Median,3.3,3.2,3.1,3,2.9,2.8
Andorra,Upper,4.8,4.8,4.8,4.7,4.8,4.7
United Arab Emirates,Lower,8.3,7.9,7.5,7,6.5,6
United Arab Emirates,Median,8.5,8.2,7.8,7.4,7.1,6.8
United Arab Emirates,Upper,8.7,8.4,8.1,7.9,7.8,7.7
Argentina,Lower,14.3,13.9,13.3,12.7,11.9,11.1
Argentina,Median,14.6,14.2,13.8,13.3,12.9,12.5
Argentina,Upper,14.9,14.5,14.2,14,13.9,14
Armenia,Lower,15.2,14.3,13.3,12.4,11.6,10.8
Armenia,Median,18,17.2,16.3,15.5,14.7,14.1
Armenia,Upper,21.3,20.6,19.9,19.4,18.8,18.3
Antigua & Barbuda,Lower,8.1,7.5,6.9,6.4,5.9,5.5
Antigua & Barbuda,Median,9.9,9.5,9.1,8.7,8.4,8.1
Antigua & Barbuda,Upper,12.3,12.2,12.1,12,12,11.9
Australia,Lower,4.7,4.5,4.2,4,3.7,3.5
Australia,Median,4.8,4.5,4.3,4.1,3.9,3.8
Australia,Upper,4.9,4.6,4.4,4.3,4.1,4.1
Austria,Lower,4.2,4.1,3.9,3.7,3.4,3.2
Austria,Median,4.4,4.2,4,3.9,3.7,3.5
Austria,Upper,4.5,4.4,4.2,4.1,4,3.9
Azerbaijan,Lower,28.9,26.7,24.8,22.9,21.2,19.7
Azerbaijan,Median,39,37.3,35.7,34.2,32.9,31.7
Azerbaijan,Upper,52.3,52,51.9,52,52.1,52.4
Burundi,Lower,72.8,66.9,61.9,57.4,53.2,49.7
Burundi,Median,98.8,94.9,91.2,87.8,84.6,81.7
Burundi,Upper,132.3,131.5,130.5,130.5,130.7,130.3
Belgium,Lower,4.4,4.3,4.2,4.1,4,3.8
Belgium,Median,4.5,4.4,4.3,4.3,4.2,4.1
Belgium,Upper,4.6,4.5,4.5,4.5,4.5,4.6
Benin,Lower,95.4,92.1,88.7,85.4,81.6,78.3
Benin,Median,111.6,109.3,107,104.8,102.1,99.5
Benin,Upper,127.1,126.6,126.6,126.5,126.7,126.9
Burkina Faso,Lower,98.9,90.5,82.8,76.2,70.2,64.9
Burkina Faso,Median,113.5,106.9,101.4,96.6,92.4,88.6
Burkina Faso,Upper,129.7,124.8,121.9,120.1,119.6,119.1
Bangladesh,Lower,46.7,43.4,40.3,37.5,34.9,32.4
Bangladesh,Median,49.6,46.7,44,41.6,39.5,37.6
Bangladesh,Upper,52.6,50.1,47.8,45.9,44.4,43.5
Bulgaria,Lower,12.6,12.2,11.6,11,10.3,9.5
Bulgaria,Median,13,12.6,12,11.5,10.9,10.4
Bulgaria,Upper,13.4,13,12.5,12,11.6,11.4
Bahrain,Lower,7.9,7.4,6.8,6.3,5.8,5.4
Bahrain,Median,8.3,7.8,7.3,6.9,6.5,6.2
Bahrain,Upper,8.7,8.2,7.8,7.5,7.3,7.1
Bahamas,Lower,12.4,11.7,11.1,10.4,9.8,9.1
Bahamas,Median,13.9,13.5,13.2,12.8,12.4,12.1
Bahamas,Upper,15.6,15.6,15.6,15.7,15.8,15.9
Bosnia & Herzegovina,Lower,7.1,6.6,6.1,5.6,5.1,4.7
Bosnia & Herzegovina,Median,7.4,6.9,6.5,6.1,5.7,5.4
Bosnia & Herzegovina,Upper,7.7,7.3,6.9,6.6,6.4,6.2
Belarus,Lower,5.8,5.4,5.1,4.8,4.5,4.1
Belarus,Median,6.1,5.6,5.3,5,4.7,4.6
Belarus,Upper,6.3,5.8,5.5,5.2,5,5
Belize,Lower,18,17.3,16.5,15.7,14.8,13.9
Belize,Median,19,18.5,18,17.5,17,16.5
Belize,Upper,20.2,19.9,19.7,19.7,19.6,19.7
Bolivia,Lower,39.7,37,34.5,32.1,29.9,27.9
Bolivia,Median,47,44.9,43.1,41.3,39.8,38.4
Bolivia,Upper,54.8,53.6,52.9,52.3,52.3,52.2
Brazil,Lower,16.2,15.8,15.6,15.6,15.6,15.5
Brazil,Median,16.6,16.2,16,16,16.2,16.4
Brazil,Upper,17,16.5,16.4,16.4,16.8,17.3
Barbados,Lower,13.2,12.6,12,11.3,10.7,10
Barbados,Median,14.7,14.4,14.1,13.7,13.3,13
Barbados,Upper,16.5,16.5,16.5,16.6,16.7,16.8
Brunei,Lower,8.6,8.8,8.9,9,9,8.8
Brunei,Median,9.3,9.5,9.7,9.9,10.1,10.2
Brunei,Upper,9.9,10.2,10.5,10.9,11.4,11.9
Bhutan,Lower,34.9,32.1,29.8,27.6,25.7,24
Bhutan,Median,42.3,39.9,37.8,36,34.4,32.9
Bhutan,Upper,50.6,48.6,47,45.9,45,44.5
Botswana,Lower,29.8,28.2,26.5,24.4,23.1,22.1
Botswana,Median,53.5,51.8,49.5,46.6,44.8,43.6
Botswana,Upper,82.8,83.1,82,79.2,78.6,78.5
Central African Republic,Lower,118.7,112,105.1,99,92.5,86.8
Central African Republic,Median,150.2,146.2,142.1,138.5,134,130.1
Central African Republic,Upper,193.8,194.5,194.9,195.7,196.1,197.4
Canada,Lower,5.5,5.3,5.1,4.8,4.5,4.2
Canada,Median,5.6,5.4,5.3,5.2,5,4.9
Canada,Upper,5.7,5.6,5.6,5.6,5.6,5.7
Switzerland,Lower,4.3,4.2,4,3.8,3.6,3.4
Switzerland,Median,4.5,4.4,4.3,4.2,4,3.9
Switzerland,Upper,4.7,4.6,4.5,4.5,4.6,4.6
Chile,Lower,8.6,8.5,8.3,7.8,7.2,6.5
Chile,Median,8.8,8.7,8.6,8.4,8.3,8.1
Chile,Upper,9,8.9,8.9,9.1,9.4,9.8
China,Lower,14.7,13.5,12.3,11.1,9.9,9
China,Median,15.7,14.5,13.4,12.3,11.4,10.7
China,Upper,16.7,15.5,14.5,13.8,13.2,12.7
Cote d Ivoire,Lower,95.8,91.7,87,82,76.8,72.3
Cote d Ivoire,Median,109.1,105.9,102.5,99,95.5,92.6
Cote d Ivoire,Upper,124.1,122.6,120.9,119.5,119.2,118.8
Cameroon,Lower,72.1,66.6,61.9,57.3,53.5,50.3
Cameroon,Median,104.8,101,97.4,93.9,90.6,87.9
Cameroon,Upper,148.3,149.1,149.2,148.6,148.2,147.9
Congo DR,Lower,96.8,91.4,86.1,81,76.1,71.3
Congo DR,Median,116.1,112.2,108.5,104.8,101.7,98.3
Congo DR,Upper,137.6,135.4,133,131.3,130.3,129.8
Congo,Lower,49.5,44.2,39.4,35.6,32.3,29.6
Congo,Median,60.6,56.1,52.6,49.6,47.1,45
Congo,Upper,73.9,70.8,69,67.8,67,66.5
Cook Islands,Lower,7.6,7.1,6.6,6.2,5.8,5.4
Cook Islands,Median,9.9,9.4,9.1,8.7,8.4,8.1
Cook Islands,Upper,12.7,12.5,12.3,12.3,12.2,12.2
Colombia,Lower,15,14.1,13.2,12.4,11.6,10.9
Colombia,Median,18.5,18,17.4,16.9,16.4,15.9
Colombia,Upper,23.2,23.3,23.4,23.4,23.5,23.7
Comoros,Lower,52.8,50.2,47.3,44.5,42,39.4
